file_path,xmp_path,title,description,keywords,keywords_text,keywords_list,hierarchical_keywords,print_id,negative_sleeve,frame_number,film,thumb_path,negative_scan,missing
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9107.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9107.jpg,,,Archive; M2024-29; PrintID,Archive; M2024-29; PrintID,"['Archive', 'M2024-29', 'PrintID']",Archive|PrintID|M2024-29,M2024-29,,,,thumbs/_DSC9107.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9139.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9139.jpg,,,Archive; M2024-105; PrintID,Archive; M2024-105; PrintID,"['Archive', 'M2024-105', 'PrintID']",Archive|PrintID|M2024-105,M2024-105,,,,thumbs/_DSC9139.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9111.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9111.jpg,,,Archive; M2024-33; PrintID,Archive; M2024-33; PrintID,"['Archive', 'M2024-33', 'PrintID']",Archive|PrintID|M2024-33,M2024-33,,,,thumbs/_DSC9111.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9105.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9105.jpg,,,Archive; M2024-27; PrintID,Archive; M2024-27; PrintID,"['Archive', 'M2024-27', 'PrintID']",Archive|PrintID|M2024-27,M2024-27,,,,thumbs/_DSC9105.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9104.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9104.jpg,,,Archive; M2024-26; PrintID,Archive; M2024-26; PrintID,"['Archive', 'M2024-26', 'PrintID']",Archive|PrintID|M2024-26,M2024-26,,,,thumbs/_DSC9104.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9110.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9110.jpg,,,Archive; M2024-32; PrintID,Archive; M2024-32; PrintID,"['Archive', 'M2024-32', 'PrintID']",Archive|PrintID|M2024-32,M2024-32,,,,thumbs/_DSC9110.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9114.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9114.jpg,,,2023-27; Archive; PrintID,2023-27; Archive; PrintID,"['2023-27', 'Archive', 'PrintID']",Archive|PrintID|2023-27,2023-27,,,,thumbs/_DSC9114.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9129.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9129.jpg,,,Archive; M2023-25; PrintID,Archive; M2023-25; PrintID,"['Archive', 'M2023-25', 'PrintID']",Archive|PrintID|M2023-25,M2023-25,,,,thumbs/_DSC9129.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9088.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9088.jpg,,,Archive; M2024-11; PrintID,Archive; M2024-11; PrintID,"['Archive', 'M2024-11', 'PrintID']",Archive|PrintID|M2024-11,M2024-11,,,,thumbs/_DSC9088.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9089.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9089.jpg,,,Archive; M2024-12; PrintID,Archive; M2024-12; PrintID,"['Archive', 'M2024-12', 'PrintID']",Archive|PrintID|M2024-12,M2024-12,,,,thumbs/_DSC9089.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9076.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9076.jpg,,,Archive; M2024-1; PrintID,Archive; M2024-1; PrintID,"['Archive', 'M2024-1', 'PrintID']",Archive|PrintID|M2024-1,M2024-1,,,,thumbs/_DSC9076.jpg,False,False
/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9116.jpg,/Users/alvarotrabanco/Photography/les_mios_semeyes/2023/2025-09-25/JPG/_DSC9116.jpg,,,2023-026; Archive; PrintID,2023-026; Archive; PrintID,"['2023-026', 'Archive', 'PrintID']",Archive|PrintID|2023-026,2023-026,,,,thumbs/_DSC9116.jpg,False,False
